obsId obs stdev ODirE ODirN ODirU E N U CODE lon lat
0133 0.0 1.0 0 0 1 -98.59557  115.75984  0.00000 0133  142.29600  42.72700
0134 0.0 1.0 0 0 1 -32.52472  112.02559  0.00000 0134  143.10300  42.69900
0135 0.0 1.0 0 0 1 -198.77463  111.34774  0.00000 0135  141.07500  42.66800
0136 0.0 1.0 0 0 1 -155.60526  108.91379  0.00000 0136  141.60200  42.65600
0137 0.0 1.0 0 0 1 -219.26318  109.51770  0.00000 0137  140.82600  42.64600
0138 0.0 1.0 0 0 1 -3.20262  95.62303  0.00000 0138  143.46100  42.55200
0139 0.0 1.0 0 0 1 -175.66071  97.60993  0.00000 0139  141.36100  42.55000
0140 0.0 1.0 0 0 1 -258.59501  93.96121  0.00000 0140  140.35400  42.49400
0141 0.0 1.0 0 0 1 -118.38520  88.73772  0.00000 0141  142.06000  42.48100
0142 0.0 1.0 0 0 1 -76.98624  62.27896  0.00000 0142  142.56700  42.24800
0143 0.0 1.0 0 0 1 -268.20322  66.51274  0.00000 0143  140.25000  42.24400
0144 0.0 1.0 0 0 1 -46.70642  49.01920  0.00000 0144  142.93500  42.13100
0145 0.0 1.0 0 0 1 -289.01969  54.76231  0.00000 0145  140.00400  42.13100
0146 0.0 1.0 0 0 1 -242.42714  49.45509  0.00000 0146  140.56900  42.09900
0147 0.0 1.0 0 0 1 -223.01829  42.59200  0.00000 0147  140.80600  42.04300
0149 0.0 1.0 0 0 1 -265.40873 -5.33268  0.00000 0149  140.31600  41.59900
0150 0.0 1.0 0 0 1 -218.79064 -22.90367  0.00000 0150  140.88100  41.45500
0151 0.0 1.0 0 0 1 -240.76344 -68.01084  0.00000 0151  140.63600  41.04300
0152 0.0 1.0 0 0 1 -179.42539 -78.09490  0.00000 0152  141.36800  40.96800
0153 0.0 1.0 0 0 1 -194.72984 -115.81832  0.00000 0153  141.19800  40.62500
0154 0.0 1.0 0 0 1 -302.39045 -117.46209  0.00000 0154  139.92800  40.57800
0155 0.0 1.0 0 0 1 -247.55394 -125.48127  0.00000 0155  140.57800  40.52400
0156 0.0 1.0 0 0 1 -168.52563 -128.67466  0.00000 0156  141.51100  40.51500
0157 0.0 1.0 0 0 1 -206.06565 -152.62593  0.00000 0157  141.07600  40.29100
0158 0.0 1.0 0 0 1 -151.65575 -141.25221  0.00000 0158  141.71300  40.40500
0159 0.0 1.0 0 0 1 -187.53171 -153.10856  0.00000 0159  141.29400  40.29100
0160 0.0 1.0 0 0 1 -173.86327 -180.31581  0.00000 0160  141.46200  40.04900
0161 0.0 1.0 0 0 1 -194.27578 -187.37700  0.00000 0161  141.22500  39.98100
0162 0.0 1.0 0 0 1 -132.48988 -201.13446  0.00000 0162  141.95100  39.86900
0163 0.0 1.0 0 0 1 -199.77616 -201.67710  0.00000 0163  141.16500  39.85100
0164 0.0 1.0 0 0 1 -145.10577 -203.12718  0.00000 0164  141.80400  39.84900
0165 0.0 1.0 0 0 1 -217.35940 -217.86502  0.00000 0165  140.96500  39.70100
0166 0.0 1.0 0 0 1 -199.90688 -229.88964  0.00000 0166  141.17200  39.59700
0167 0.0 1.0 0 0 1 -132.93000 -246.76159  0.00000 0167  141.95500  39.45800
0169 0.0 1.0 0 0 1 -169.44390 -259.37874  0.00000 0169  141.53400  39.33800
0170 0.0 1.0 0 0 1 -146.86379 -269.16220  0.00000 0170  141.79800  39.25400
0172 0.0 1.0 0 0 1 -167.10315 -307.73247  0.00000 0172  141.57300  38.90300
0173 0.0 1.0 0 0 1 -217.84592 -316.27735  0.00000 0173  140.99100  38.81500
0174 0.0 1.0 0 0 1 -234.47392 -323.13731  0.00000 0174  140.80200  38.74900
0176 0.0 1.0 0 0 1 -204.99559 -347.27149  0.00000 0176  141.14800  38.53900
0177 0.0 1.0 0 0 1 -231.28960 -360.66571  0.00000 0177  140.85100  38.41200
0179 0.0 1.0 0 0 1 -233.11264 -403.04440  0.00000 0179  140.84400  38.03000
0180 0.0 1.0 0 0 1 -268.46083 -406.40637  0.00000 0180  140.44300  37.99000
0181 0.0 1.0 0 0 1 -248.36743 -147.57467  0.00000 0181  140.57700  40.32500
0182 0.0 1.0 0 0 1 -275.18598 -152.64832  0.00000 0182  140.26400  40.27100
0183 0.0 1.0 0 0 1 -230.89401 -160.35416  0.00000 0183  140.78700  40.21500
0184 0.0 1.0 0 0 1 -293.57645 -154.62545  0.00000 0184  140.04900  40.24700
0185 0.0 1.0 0 0 1 -264.46733 -182.37928  0.00000 0185  140.40200  40.00700
0186 0.0 1.0 0 0 1 -287.81788 -189.42892  0.00000 0186  140.13200  39.93600
0187 0.0 1.0 0 0 1 -248.74574 -211.58243  0.00000 0187  140.59700  39.74900
0188 0.0 1.0 0 0 1 -280.22249 -220.61830  0.00000 0188  140.23400  39.65800
0189 0.0 1.0 0 0 1 -267.51045 -233.18489  0.00000 0189  140.38700  39.54900
0190 0.0 1.0 0 0 1 -253.44220 -258.32905  0.00000 0190  140.56000  39.32700
0191 0.0 1.0 0 0 1 -310.19292 -269.73838  0.00000 0191  139.90800  39.20600
0192 0.0 1.0 0 0 1 -288.42416 -275.23755  0.00000 0192  140.16200  39.16400
0193 0.0 1.0 0 0 1 -248.36999 -289.05001  0.00000 0193  140.63000  39.05200
0194 0.0 1.0 0 0 1 -341.38757 -270.66832  0.00000 0194  139.54800  39.18600
0195 0.0 1.0 0 0 1 -307.88115 -319.41986  0.00000 0195  139.95700  38.76000
0196 0.0 1.0 0 0 1 -319.48197 -337.42210  0.00000 0196  139.83200  38.59400
0197 0.0 1.0 0 0 1 -329.34291 -386.84115  0.00000 0197  139.74200  38.14600
0198 0.0 1.0 0 0 1 -299.22319 -408.23137  0.00000 0198  140.09400  37.96400
0199 0.0 1.0 0 0 1 -299.67527 -382.20572  0.00000 0199  140.07800  38.19800
0200 0.0 1.0 0 0 1 -267.54368 -440.54493  0.00000 0200  140.46600  37.68300
0202 0.0 1.0 0 0 1 -302.67792 -452.22906  0.00000 0202  140.07300  37.56700
0204 0.0 1.0 0 0 1 -351.18291 -460.77730  0.00000 0204  139.52900  37.47300
0205 0.0 1.0 0 0 1 -251.45025 -480.81339  0.00000 0205  140.66200  37.32500
0206 0.0 1.0 0 0 1 -366.60672 -479.02272  0.00000 0206  139.36400  37.30300
0207 0.0 1.0 0 0 1 -354.29478 -481.99741  0.00000 0207  139.50400  37.28100
0209 0.0 1.0 0 0 1 -321.82819 -485.52562  0.00000 0209  139.87100  37.26100
0210 0.0 1.0 0 0 1 -287.83066 -501.75636  0.00000 0210  140.26000  37.12600
0211 0.0 1.0 0 0 1 -261.12174 -506.73256  0.00000 0211  140.56200  37.08900
0212 0.0 1.0 0 0 1 -275.18156 -531.50424  0.00000 0212  140.41300  36.86200
0213 0.0 1.0 0 0 1 -286.66345 -554.56746  0.00000 0213  140.29300  36.65100
0214 0.0 1.0 0 0 1 -244.97399 -539.30887  0.00000 0214  140.75400  36.80000
0215 0.0 1.0 0 0 1 -307.01227 -585.64376  0.00000 0215  140.07800  36.36500
0216 0.0 1.0 0 0 1 -271.36679 -589.16124  0.00000 0216  140.47600  36.34400
0217 0.0 1.0 0 0 1 -308.56373 -531.25254  0.00000 0217  140.03900  36.85400
0218 0.0 1.0 0 0 1 -346.86763 -550.68392  0.00000 0218  139.61900  36.66600
0219 0.0 1.0 0 0 1 -319.96278 -559.17287  0.00000 0219  139.92300  36.59900
0220 0.0 1.0 0 0 1 -381.58617 -537.64558  0.00000 0220  139.22500  36.77000
0221 0.0 1.0 0 0 1 -443.10510 -563.85208  0.00000 0221  138.55300  36.50800
0222 0.0 1.0 0 0 1 -373.88082 -576.68691  0.00000 0222  139.33000  36.42200
0223 0.0 1.0 0 0 1 -398.86460 -623.96300  0.00000 0223  139.07600  35.98700
0224 0.0 1.0 0 0 1 -334.30076 -636.76104  0.00000 0224  139.79600  35.89600
0225 0.0 1.0 0 0 1 -312.47878 -664.11098  0.00000 0225  140.04800  35.65700
0226 0.0 1.0 0 0 1 -283.40610 -711.05689  0.00000 0226  140.38500  35.24300
0227 0.0 1.0 0 0 1 -321.66288 -736.44161  0.00000 0227  139.97500  35.00300
0228 0.0 1.0 0 0 1 -350.21325 -661.93203  0.00000 0228  139.63100  35.66400
0229 0.0 1.0 0 0 1 -394.19665 -696.57299  0.00000 0229  139.16300  35.33600
0230 0.0 1.0 0 0 1 -396.43265 -703.92583  0.00000 0230  139.14200  35.26900
0231 0.0 1.0 0 0 1 -370.59212 -349.57719  0.00000 0231  139.25300  38.46500
0232 0.0 1.0 0 0 1 -436.07427 -362.55962  0.00000 0232  138.51300  38.31900
0233 0.0 1.0 0 0 1 -441.20171 -390.79642  0.00000 0233  138.47200  38.06300
0234 0.0 1.0 0 0 1 -364.69549 -409.47590  0.00000 0234  139.35100  37.92900
0235 0.0 1.0 0 0 1 -460.21190 -417.26657  0.00000 0235  138.27300  37.81600
0236 0.0 1.0 0 0 1 -354.68548 -436.94086  0.00000 0236  139.47800  37.68600
0237 0.0 1.0 0 0 1 -416.28493 -436.07820  0.00000 0237  138.78100  37.66800
0238 0.0 1.0 0 0 1 -391.77967 -437.94044  0.00000 0238  139.05900  37.66200
0239 0.0 1.0 0 0 1 -398.19346 -459.22396  0.00000 0239  138.99800  37.46800
0241 0.0 1.0 0 0 1 -458.39992 -482.53346  0.00000 0241  138.33400  37.23100
0243 0.0 1.0 0 0 1 -479.62245 -489.15041  0.00000 0243  138.10000  37.16100
0244 0.0 1.0 0 0 1 -434.85006 -500.70607  0.00000 0244  138.60900  37.07900
