Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
166  141.65  35.53  -167.800 -681.777  16.880  193.286  15.919  585.496   201 200 49
167  141.92  37.56  -139.104 -457.015  32.163  203.567  19.539  440.779   92 87 71
168  143.62  38.31   10.100 -375.539  9.606   181.555  4.628   270.190   133 79 67
169  143.28  36.97  -19.252 -523.422  7.713   214.061  3.981   179.967   82 36 35
17  143.59  37.41   8.234  -474.632  7.792   209.873  3.977   219.373   73 33 32
170  143.79  37.93   25.322 -417.273  8.159   196.527  3.555   240.598   141 72 28
171  141.15  37.87  -206.313 -421.340  65.100  193.779  25.889  298.309   174 175 176
172  140.91  35.59  -234.755 -674.115  39.408  182.737  18.776  371.245   220 45 46
173  143.76  40.76   22.213 -103.195  13.636  197.465  8.480   364.008   221 2 206
174  143.20  39.94  -25.829 -194.145  18.611  189.642  11.523  407.888   130 104 66
175  143.55  39.77   3.935  -213.637  13.106  184.110  7.990   391.703   130 127 83
176  144.09  40.14   50.175 -172.165  8.964   192.509  4.662   410.271   211 197 9
177  141.26  36.18  -201.054 -609.390  32.364  194.999  19.228  450.946   172 199 204
178  143.81  38.14   27.095 -394.279  8.275   182.584  3.417   296.589   141 26 79
179  141.78  37.51  -152.082 -463.114  35.755  198.474  21.355  225.668   71 87 213
18  142.80  37.01  -62.086 -518.977  11.318  208.688  6.889   207.111   168 145 116
180  143.37  40.17  -10.843 -169.136  16.702  190.705  10.677  365.320   205 104 208
181  143.92  39.54   35.987 -238.632  9.188   182.555  5.810   212.422   100 94 85
182  141.63  37.17  -165.778 -500.653  35.317  203.693  22.639  382.217   88 60 78
183  141.92  38.08  -138.936 -399.791  38.422  196.452  20.935  521.303   149 103 74
184  141.23  38.64  -197.526 -335.797  70.142  190.615  26.770  412.301   19 22 180
185  143.90  39.91   34.120 -197.321  9.765   191.947  5.423   358.810   197 83 51
186  142.44  36.96  -94.024 -524.111  14.649  213.169  8.170   251.733   167 68 138
187  143.59  38.59   7.906  -344.066  10.025  188.684  5.288   255.105   160 129 67
188  141.81  36.71  -151.000 -551.557  22.427  204.915  16.604  449.301   218 62 61
189  142.98  37.21  -46.191 -496.985  10.996  211.788  6.589   190.224   139 115 116
19  143.72  38.39   19.602 -366.110  8.891   184.094  4.402   251.876   93 67 79
190  142.34  37.42  -102.250 -473.123  20.896  203.385  12.631  251.666   86 114 214
191  141.14  35.51  -214.239 -683.113  32.185  183.493  19.233  366.411   220 46 48
192  142.67  40.11  -70.460 -175.217  30.975  192.630  16.588  283.854   106 107 191
193  141.53  38.53  -171.625 -349.440  56.454  191.560  25.201  364.599   181 180 179
194  140.97  37.65  -223.207 -445.552  69.849  197.055  26.693  432.351   174 30 173
195  143.10  39.14  -34.686 -283.428  17.138  197.383  8.876   347.123   123 121 65
196  143.68  39.66   15.505 -225.268  11.489  179.641  7.304   327.775   127 94 83
197  144.05  39.73   47.391 -217.492  8.276   186.176  4.742   113.864   100 52 51
198  143.89  40.24   33.409 -160.999  10.813  197.231  6.508   367.121   210 197 211
199  143.31  38.97  -16.634 -301.576  13.914  196.522  7.702   241.734   163 121 122
2  142.31  38.60  -104.041 -342.680  30.716  188.299  16.848  366.803   154 70 80
20  143.87  38.03   32.294 -405.786  7.893   188.797  3.627   219.808   141 28 26
200  143.36  39.56  -11.893 -236.011  15.291  186.738  9.087   304.786   162 127 109
201  141.00  38.07  -219.681 -399.438  74.481  192.815  27.767  411.206   25 27 176
202  141.19  37.15  -205.492 -500.974  52.357  204.886  26.130  359.366   225 59 227
203  143.61  40.51   9.718  -130.775  14.763  186.492  9.802   424.574   210 221 207
204  143.47  37.33  -2.869  -483.600  8.132   211.655  3.943   306.248   81 33 73
205  140.61  36.13  -259.805 -613.528  52.152  191.423  18.859  494.292   169 40 43
206  141.40  38.42  -183.566 -361.419  60.856  191.316  25.316  372.365   180 178 179
207  142.40  35.89  -98.831 -643.303  7.810   206.417  7.514   395.502   216 44 42
208  141.92  38.97  -137.153 -300.996  44.513  184.330  21.910  258.664   183 54 185
