%Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
165  141.25  39.68  -193.393 -220.477  79.155  191.218  29.182  696.462   106 105 75
166  141.92  35.40  -143.158 -697.120  10.197  192.290  12.046  1432.315  140 56 161
167  141.30  37.11  -195.447 -506.255  46.758  204.430  26.269  428.482   143 122 184
168  141.52  41.39  -165.980 -31.269  87.104  199.414  28.995  1588.497  112 57 37
169  142.80  39.26  -60.325 -269.747  22.453  191.704  11.998  900.337   97 41 119
17  140.35  36.22  -282.993 -602.495  61.637  190.003  24.085  392.395   132 192 124
170  142.13  42.94  -111.730  139.399  125.753  236.664  35.155  2037.723  74 4 71
171  141.03  35.25  -224.309 -711.528  34.828  185.843  19.524  447.559   201 135 163
172  140.62  35.50  -260.755 -683.455  47.833  186.055  18.791  191.391   205 195 204
173  141.18  38.83  -201.204 -314.558  73.960  190.601  27.670  375.105   172 83 170
174  140.73  38.89  -240.002 -307.541  95.417  191.419  28.967  552.078   178 94 43
175  142.28  38.98  -105.543 -299.800  33.074  185.000  17.263  436.942   34 96 86
176  141.22  40.91  -191.806 -84.702  92.676  192.692  29.308  1290.982  108 37 62
177  142.60  40.38  -75.988 -145.267  35.210  191.082  19.060  1054.570  118 77 103
178  142.01  40.30  -126.370 -153.135  53.517  194.124  23.189  1043.687  103 104 78
179  142.17  35.63  -120.690 -672.283  8.246   212.906  9.091   2087.387  140 161 29
18  140.46  39.21  -262.518 -270.805  112.325  191.687  30.062  1831.916  63 60 43
180  140.83  35.92  -241.189 -636.870  43.738  192.520  19.659  301.779   193 32 199
181  141.50  37.02  -177.933 -516.188  37.645  204.558  23.508  848.369   49 122 143
182  142.17  36.04  -120.250 -626.481  11.083  197.184  7.585   2068.865  141 140 29
183  140.12  39.32  -291.688 -258.004  131.038  192.050  31.596  2643.848  63 18 60
184  141.22  39.11  -196.782 -284.141  74.423  190.163  28.321  461.892   171 95 170
185  144.70  42.17   98.885  54.227  18.929  240.484  10.366  1577.668  66 44 153
186  140.60  37.72  -255.471 -437.082  87.268  203.429  28.459  348.061   188 179 129
187  141.73  39.00  -153.011 -296.863  51.613  186.345  24.104  316.813   169 164 92
188  141.38  37.64  -186.736 -447.870  52.607  196.332  25.617  399.013   182 183 128
189  142.39  39.45  -95.329 -248.316  32.301  192.670  17.232  610.568   98 97 35
19  143.71  42.33   17.367  71.290  33.736  231.295  24.073  1051.380  149 38 152
190  140.63  41.67  -238.838  2.077   135.543  200.281  32.745  3504.926  9 13 57
191  142.97  43.27  -42.983  175.374  123.975  242.563  39.027  2410.053  74 36 2
192  141.00  37.06  -222.611 -510.848  57.219  212.276  26.179  357.038   184 185 142
193  142.72  37.03  -69.547 -516.632  12.455  209.058  7.797   957.450   145 68 51
194  140.15  38.55  -292.239 -343.282  120.515  192.116  29.918  1157.228  73 47 60
195  140.50  36.14  -269.772 -611.358  55.696  189.536  19.797  299.971   132 131 192
196  142.19  38.16  -114.694 -390.698  31.214  191.358  18.242  853.206   91 89 81
197  143.90  42.87   32.316  131.385  63.848  248.482  38.488  825.862   158 150 151
198  141.14  35.50  -214.037 -683.937  32.129  183.690  19.073  368.767   163 138 196
199  139.80  38.04  -324.447 -398.983  132.325  191.667  32.064  2364.211  73 22 61
2  140.81  38.32  -235.300 -370.427  86.006  191.934  28.359  353.903   176 155 93
20  141.26  40.38  -190.136 -142.970  85.401  190.033  28.883  1204.376  109 108 48
200  142.45  36.78  -93.386 -544.515  12.978  218.790  7.516   1209.798  51 141 145
201  144.18  43.10   55.489  156.957  76.519  250.300  38.935  669.210   159 158 160
202  143.44  40.76  -5.253  -103.886  18.961  196.175  12.258  1778.583  72 39 52
203  139.28  35.86  -380.921 -638.889  122.597  188.710  43.358  2157.264  64 28 30
204  142.07  38.33  -124.931 -372.439  35.866  193.592  19.008  533.244   89 91 167
205  140.25  36.63  -290.888 -556.303  73.308  206.380  29.982  714.643   190 125 124
206  141.29  37.37  -195.658 -477.108  52.336  199.705  25.669  400.318   181 122 183
207  142.73  37.30  -68.552 -486.630  14.273  208.039  7.657   1364.372  68 42 51
208  141.01  39.13  -215.577 -281.411  84.874  190.262  29.198  658.620   170 95 43
209  139.88  36.84  -322.636 -532.006  98.288  204.236  34.456  1621.297  67 59 125
21  142.49  42.79  -82.440  123.086  103.266  235.707  38.959  1895.929  74 71 40
210  143.70  39.10   17.209 -287.597  10.843  202.088  5.711   1838.182  19 70 114
211  143.17  42.08  -26.901  42.819  39.869  213.753  24.754  1284.631  65 148 38
